,body
259,True
260,False
261,True
262,True
263,True
264,False
265,False
266,True
267,False
268,False
269,False
270,False
271,False
272,False
273,False
274,False
275,True
276,True
277,True
278,True
279,True
280,False
281,True
282,True
283,True
284,False
285,False
286,False
287,True
288,True
289,False
290,False
291,True
292,True
293,True
294,False
295,True
296,True
297,True
298,True
299,True
300,True
301,False
302,False
303,True
304,True
305,True
306,True
307,True
308,True
309,True
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,False
318,True
319,True
320,False
321,True
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,False
335,False
336,False
337,True
338,True
339,True
340,False
341,False
342,False
343,False
344,False
345,False
346,False
347,False
348,False
349,False
350,False
351,False
352,False
353,False
354,False
355,False
356,False
357,True
358,False
359,True
360,False
361,True
362,True
363,True
364,True
365,True
366,False
367,True
368,True
369,True
370,False
371,True
372,False
373,True
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,False
391,False
392,False
393,False
394,False
395,False
396,True
397,False
398,False
399,False
400,False
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,False
409,False
410,False
411,False
412,False
413,True
414,True
415,True
416,True
417,False
418,False
419,True
420,True
421,False
422,False
423,False
424,False
425,True
426,False
427,False
428,True
429,True
430,True
431,False
432,True
433,True
434,True
435,True
436,False
437,True
438,True
439,False
440,False
441,False
442,False
443,False
444,False
445,False
446,False
447,False
448,False
449,False
450,False
451,True
452,False
453,False
454,False
455,False
456,False
457,True
458,True
459,False
460,True
461,True
462,True
463,True
464,False
465,False
466,False
467,True
468,True
469,False
470,False
471,False
472,False
473,False
474,False
475,False
476,False
477,False
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,False
488,False
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,True
511,True
512,False
513,True
514,True
515,False
516,False
517,False
518,False
519,False
520,False
521,False
522,True
523,False
524,True
525,True
526,True
527,True
528,True
529,True
530,False
531,False
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,True
543,True
544,True
545,True
546,False
547,True
548,True
549,True
550,True
551,True
552,False
553,True
554,True
555,False
556,False
557,False
558,False
559,False
560,False
561,False
562,False
563,False
564,False
565,False
566,False
567,False
568,False
569,False
570,False
571,False
572,False
573,False
574,False
575,False
576,False
577,False
578,False
579,False
580,False
581,False
582,False
583,False
584,False
585,False
586,False
587,False
588,False
589,False
590,False
591,False
592,False
593,False
594,False
595,False
596,False
597,False
598,False
599,False
600,False
601,False
602,False
603,False
604,False
605,False
606,False
607,False
608,False
609,False
610,False
611,False
612,False
613,False
614,False
615,False
616,False
617,False
618,False
619,False
620,False
621,False
622,False
623,False
624,False
625,False
626,False
627,False
628,False
629,False
630,False
631,False
632,False
633,False
634,False
635,False
636,False
637,True
638,False
639,False
640,False
641,False
642,False
643,False
644,False
645,False
646,False
647,True
648,True
649,True
650,False
651,False
652,False
653,True
654,False
655,False
656,True
657,True
658,True
659,True
660,False
661,False
662,False
663,False
664,False
665,False
666,False
667,False
668,False
669,False
670,True
671,False
672,False
673,False
674,True
675,True
676,True
677,False
678,False
679,False
680,True
681,True
682,True
683,False
684,True
685,False
686,False
687,False
688,False
689,False
690,False
691,False
692,True
693,True
694,True
695,True
696,True
697,True
698,True
699,False
700,False
701,False
702,False
703,True
704,True
705,False
706,False
707,False
708,True
709,True
710,False
711,False
712,False
713,False
714,True
715,False
716,False
717,False
718,False
719,False
720,False
721,False
722,False
723,False
724,False
725,False
726,False
727,False
728,False
729,True
730,False
731,True
732,False
733,False
734,False
735,False
736,False
737,True
738,False
739,True
740,True
741,False
742,True
743,True
744,True
745,True
746,True
747,True
748,False
749,False
750,False
751,True
752,True
753,True
754,True
755,True
756,True
757,True
758,True
759,True
760,True
761,True
762,False
763,False
764,False
765,False
766,False
767,False
768,True
769,False
770,True
771,True
772,True
773,True
774,False
775,True
776,False
777,True
778,True
779,False
780,False
781,False
782,False
783,False
784,False
785,False
786,False
787,False
788,False
789,False
790,False
791,False
792,False
793,False
794,False
795,False
796,False
797,False
798,False
799,False
800,False
801,True
802,False
803,False
804,True
805,False
806,False
807,False
808,False
809,False
810,False
811,False
812,False
813,False
814,False
815,False
816,False
817,False
818,False
819,False
820,False
821,False
822,False
823,False
824,False
825,False
826,False
827,False
828,False
829,False
830,False
831,False
832,True
833,True
834,True
835,True
836,True
837,True
838,True
839,True
840,True
841,True
842,False
843,True
844,True
845,True
846,True
847,True
848,True
849,True
850,True
851,True
852,False
853,False
854,False
855,False
856,False
857,False
858,False
859,False
860,False
861,False
862,False
863,True
864,True
865,True
866,True
867,True
868,True
869,False
870,False
871,True
872,False
873,False
874,False
875,False
876,False
877,False
878,False
879,False
880,False
881,False
882,False
883,False
884,False
885,False
886,False
887,False
888,False
889,False
890,False
891,False
892,False
893,False
894,False
895,False
896,False
897,False
898,False
899,False
900,False
901,False
902,False
903,False
904,False
905,False
906,False
907,False
908,False
909,False
910,False
911,False
912,True
913,False
914,True
915,True
916,False
917,True
918,False
919,True
920,True
921,False
922,False
923,False
924,False
925,False
926,True
927,True
928,True
929,False
930,False
931,False
932,False
933,False
934,False
935,False
936,False
937,False
938,True
939,True
940,True
941,True
942,False
943,False
944,False
945,False
946,False
947,False
948,False
949,False
950,False
951,False
952,True
953,False
954,True
955,False
956,True
957,False
958,False
959,True
960,True
961,True
962,False
963,False
964,False
965,True
966,True
967,True
968,True
969,True
970,True
971,True
972,True
973,True
974,True
975,True
976,False
977,True
978,False
979,True
980,False
981,False
982,False
983,True
984,True
985,False
986,True
987,True
988,True
989,True
990,True
991,True
992,False
993,False
994,True
995,True
996,True
997,True
998,True
999,True
1000,True
1001,True
1002,True
1003,False
1004,False
1005,False
1006,False
1007,False
1008,False
1009,False
1010,False
1011,False
1012,False
1013,False
1014,False
1015,False
1016,False
1017,False
1018,False
1019,False
1020,False
1021,False
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,False
1029,False
1030,False
1031,False
1032,False
1033,False
1034,False
1035,False
1036,False
1037,False
1038,False
1039,False
1040,False
1041,False
1042,False
1043,False
1044,False
1045,False
1046,False
1047,False
1048,False
1049,False
1050,False
1051,False
1052,False
1053,False
1054,False
1055,False
1056,False
1057,False
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,False
1065,False
1066,False
1067,False
1068,False
1069,False
1070,False
1071,False
1072,False
1073,False
1074,False
1075,False
1076,False
1077,False
1078,False
1079,False
1080,False
1081,False
1082,False
1083,False
1084,False
1085,False
1086,True
1087,False
1088,False
1089,False
1090,False
1091,False
1092,True
1093,False
1094,False
1095,False
1096,False
1097,False
1098,False
1099,False
1100,False
1101,False
1102,False
1103,False
1104,False
1105,False
1106,False
1107,False
1108,False
1109,False
1110,False
1111,False
1112,False
1113,False
1114,False
1115,False
1116,False
1117,False
1118,False
1119,False
1120,False
1121,False
1122,False
1123,False
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,False
1135,False
1136,False
1137,False
1138,False
1139,True
1140,False
1141,False
1142,False
1143,False
1144,False
1145,False
1146,False
1147,False
1148,False
1149,False
1150,False
1151,False
1152,False
1153,False
1154,False
1155,False
1156,False
1157,False
1158,False
1159,False
1160,False
1161,False
1162,False
1163,False
1164,False
1165,False
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,False
1174,True
1175,False
1176,True
1177,True
1178,False
1179,True
1180,True
1181,True
1182,True
1183,False
1184,True
1185,True
1186,True
1187,False
1188,True
1189,False
1190,True
1191,True
1192,True
1193,True
1194,True
1195,True
1196,True
1197,True
1198,True
1199,True
1200,False
1201,True
1202,False
1203,True
1204,True
1205,False
1206,True
1207,False
1208,False
1209,False
1210,True
1211,True
1212,True
1213,True
1214,True
1215,True
1216,True
1217,False
1218,False
1219,False
1220,False
1221,False
1222,False
1223,False
1224,False
1225,False
1226,False
1227,False
1228,False
1229,False
1230,False
1231,False
1232,False
1233,False
1234,False
1235,False
1236,False
1237,False
1238,False
1239,False
1240,False
1241,False
1242,False
1243,False
1244,False
1245,False
1246,False
1247,False
1248,False
1249,False
1250,False
1251,False
1252,False
1253,False
1254,False
1255,False
1256,False
1257,False
1258,False
1259,False
1260,False
1261,False
1262,False
1263,False
1264,False
1265,False
1266,False
1267,False
1268,False
1269,False
1270,True
1271,True
1272,False
1273,False
1274,True
1275,False
1276,True
1277,True
1278,True
1279,True
1280,True
1281,True
1282,False
1283,False
1284,False
1285,False
1286,False
1287,False
1288,False
1289,False
1290,False
1291,False
1292,False
1293,False
1294,False
1295,False
1296,False
1297,False
1298,False
1299,False
1300,False
1301,False
1302,False
1303,False
1304,False
1305,False
1306,False
1307,False
1308,False
1309,False
1310,False
1311,False
1312,False
1313,False
1314,False
1315,False
1316,False
1317,False
1318,False
1319,False
1320,False
1321,False
1322,False
1323,False
1324,False
1325,False
1326,False
1327,False
1328,False
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,False
1336,False
1337,False
1338,False
1339,False
1340,False
1341,False
1342,False
1343,False
1344,False
1345,False
1346,False
1347,False
1348,False
1349,False
1350,False
1351,False
1352,False
1353,False
1354,False
1355,False
1356,False
1357,False
1358,False
1359,False
1360,False
1361,False
1362,False
1363,False
1364,False
1365,False
1366,False
1367,False
1368,False
1369,False
1370,False
1371,False
1372,False
1373,False
1374,False
1375,False
1376,False
1377,False
1378,False
1379,False
1380,False
1381,False
1382,False
1383,False
1384,False
1385,False
1386,False
1387,False
1388,False
1389,False
1390,False
1391,False
1392,False
1393,False
1394,False
1395,False
1396,False
1397,False
1398,False
1399,False
1400,False
1401,False
1402,False
1403,False
1404,False
1405,False
1406,False
1407,False
1408,False
1409,False
1410,False
1411,False
1412,False
1413,False
1414,False
1415,False
1416,False
1417,False
1418,False
1419,False
1420,False
1421,False
1422,False
1423,False
1424,False
1425,False
1426,True
1427,True
1428,True
1429,False
1430,True
1431,True
1432,True
1433,False
1434,True
1435,True
1436,True
1437,True
1438,False
1439,False
1440,False
1441,False
1442,False
1443,False
1444,False
1445,False
1446,True
1447,True
1448,False
1449,False
1450,False
1451,True
1452,True
1453,True
1454,True
1455,False
1456,True
1457,True
1458,True
1459,True
1460,False
1461,False
1462,False
1463,False
1464,False
1465,False
1466,False
1467,False
1468,True
1469,True
1470,True
1471,True
1472,True
1473,True
1474,False
1475,True
1476,True
1477,False
1478,True
1479,False
1480,False
1481,False
1482,True
1483,True
1484,True
1485,True
1486,True
1487,True
1488,True
1489,True
1490,True
1491,True
1492,True
1493,True
1494,False
1495,True
1496,True
1497,False
1498,False
1499,False
1500,False
1501,True
1502,True
1503,True
1504,True
1505,False
1506,True
1507,True
1508,True
1509,False
1510,False
1511,False
1512,False
1513,False
1514,True
1515,False
1516,True
1517,False
1518,True
1519,True
1520,False
1521,True
1522,True
1523,True
1524,True
1525,True
1526,False
1527,True
1528,True
1529,True
1530,True
1531,True
1532,True
1533,True
1534,True
1535,True
1536,False
1537,True
1538,False
1539,True
1540,True
1541,True
1542,True
1543,True
1544,False
1545,True
1546,True
1547,True
1548,True
1549,True
1550,True
1551,True
1552,True
1553,True
1554,True
1555,True
1556,True
1557,True
1558,True
1559,False
1560,True
1561,True
1562,True
1563,True
1564,True
1565,True
1566,True
1567,True
1568,True
1569,True
1570,True
1571,False
1572,True
1573,True
1574,True
1575,True
1576,True
1577,True
1578,False
1579,True
1580,False
1581,False
1582,False
1583,True
1584,True
1585,False
1586,False
1587,True
1588,True
1589,True
1590,False
1591,True
1592,True
1593,False
1594,False
1595,False
1596,False
1597,True
1598,False
1599,False
1600,True
1601,False
1602,True
1603,True
1604,True
1605,True
1606,False
1607,True
1608,False
1609,False
1610,True
1611,True
1612,True
1613,False
1614,False
1615,True
1616,True
1617,True
1618,True
1619,True
1620,False
1621,True
1622,False
1623,True
1624,True
1625,False
1626,False
1627,False
1628,False
1629,True
1630,True
1631,True
1632,True
1633,False
1634,True
1635,True
1636,True
1637,False
1638,False
1639,False
1640,True
1641,True
1642,True
1643,False
1644,True
1645,True
1646,True
1647,True
1648,True
1649,True
1650,True
1651,True
1652,True
1653,True
1654,True
1655,True
1656,False
1657,False
1658,True
1659,False
1660,False
1661,True
1662,False
1663,False
1664,True
1665,True
1666,True
1667,True
1668,False
1669,True
1670,False
1671,False
1672,True
1673,True
1674,True
1675,False
1676,True
1677,True
1678,True
1679,True
1680,True
1681,True
1682,True
1683,True
1684,False
1685,True
1686,True
1687,False
1688,False
1689,True
1690,True
1691,False
1692,True
1693,True
1694,True
1695,True
1696,True
1697,True
1698,False
1699,False
1700,False
1701,True
1702,False
1703,False
1704,False
1705,False
1706,True
1707,False
1708,True
1709,True
1710,True
1711,False
1712,False
1713,False
1714,False
1715,True
1716,False
1717,False
1718,True
1719,True
1720,True
1721,True
1722,True
1723,True
1724,True
1725,False
1726,False
1727,False
1728,True
1729,True
1730,True
1731,True
1732,True
1733,False
1734,False
1735,True
1736,True
1737,True
1738,True
1739,True
1740,False
1741,False
1742,False
1743,True
1744,True
1745,True
1746,True
1747,True
1748,True
1749,False
1750,False
1751,True
1752,True
1753,True
1754,True
1755,False
1756,True
1757,True
1758,True
1759,False
1760,False
1761,True
1762,True
1763,False
1764,True
1765,True
1766,True
1767,True
1768,True
1769,True
1770,True
1771,True
1772,True
1773,True
1774,True
1775,True
1776,True
1777,True
1778,False
1779,False
1780,False
1781,True
1782,True
1783,True
1784,True
1785,False
1786,False
1787,False
1788,False
1789,False
1790,True
1791,False
1792,False
1793,True
1794,True
1795,True
1796,False
1797,True
1798,True
1799,True
1800,True
1801,True
1802,True
1803,False
1804,False
1805,False
1806,True
1807,True
1808,True
1809,False
1810,True
1811,True
1812,True
1813,True
1814,True
1815,True
1816,True
1817,False
1818,False
1819,False
1820,True
1821,False
1822,False
1823,True
1824,False
1825,False
1826,False
1827,False
1828,False
1829,False
1830,False
1831,False
1832,False
1833,False
1834,False
1835,False
1836,True
1837,False
1838,False
1839,True
1840,True
1841,True
1842,True
1843,False
1844,False
1845,True
1846,False
1847,False
1848,False
1849,False
1850,False
1851,True
1852,True
1853,True
1854,False
1855,True
1856,False
1857,False
1858,False
1859,False
1860,False
1861,True
1862,True
1863,False
1864,True
1865,False
1866,True
1867,True
1868,False
1869,True
1870,False
1871,False
1872,False
1873,True
1874,True
1875,True
1876,True
1877,True
1878,False
1879,True
1880,True
1881,False
1882,False
1883,True
1884,True
1885,True
1886,True
1887,False
1888,False
1889,True
1890,False
1891,True
1892,True
1893,False
1894,False
1895,False
1896,False
1897,False
1898,False
1899,True
1900,True
1901,False
1902,False
1903,True
1904,True
1905,True
1906,True
1907,False
1908,False
1909,False
1910,False
1911,True
1912,True
1913,False
1914,True
1915,False
1916,False
1917,False
1918,False
1919,False
1920,False
1921,True
1922,True
1923,True
1924,True
1925,True
1926,True
1927,True
1928,False
1929,True
1930,True
1931,True
1932,False
1933,False
1934,False
1935,False
1936,False
1937,True
1938,True
1939,False
1940,False
1941,True
1942,True
1943,True
1944,False
1945,True
1946,True
1947,False
1948,False
1949,False
1950,False
1951,False
1952,False
1953,True
1954,True
1955,False
1956,True
1957,False
1958,True
1959,True
1960,True
1961,False
1962,False
1963,True
1964,False
1965,False
1966,True
1967,True
1968,True
1969,True
1970,True
1971,False
1972,False
1973,False
1974,True
1975,True
1976,True
1977,True
1978,True
1979,True
1980,False
1981,False
1982,False
1983,True
1984,False
1985,False
1986,True
1987,True
1988,True
1989,True
1990,True
1991,True
1992,True
1993,True
1994,True
1995,True
1996,True
1997,False
1998,True
1999,False
2000,False
2001,True
2002,True
2003,False
2004,False
2005,False
2006,False
2007,False
2008,False
2009,True
2010,False
2011,True
2012,True
2013,True
2014,False
2015,True
2016,True
2017,False
2018,False
2019,False
2020,False
2021,True
2022,True
2023,True
2024,True
2025,False
2026,True
2027,True
2028,False
2029,False
2030,True
2031,True
2032,True
2033,False
2034,True
2035,True
2036,True
2037,False
2038,False
2039,True
2040,False
2041,True
2042,True
2043,True
2044,True
2045,True
2046,True
2047,True
2048,True
2049,True
2050,True
2051,False
2052,False
2053,False
2054,False
2055,True
2056,False
2057,False
2058,True
2059,False
2060,True
2061,True
2062,True
2063,False
2064,True
2065,True
2066,True
2067,True
2068,True
2069,True
2070,False
2071,False
2072,False
2073,True
2074,True
2075,True
2076,False
2077,False
2078,True
2079,True
2080,True
2081,False
2082,False
2083,False
2084,True
2085,True
2086,True
2087,True
2088,True
2089,False
2090,False
2091,False
2092,True
2093,False
2094,False
2095,True
2096,False
2097,True
2098,True
2099,False
2100,False
2101,True
2102,True
2103,True
2104,False
2105,False
2106,True
2107,True
2108,True
2109,True
2110,False
2111,False
2112,True
2113,True
2114,True
2115,False
2116,False
2117,True
2118,False
2119,False
2120,True
2121,False
2122,True
2123,True
2124,True
2125,False
2126,False
2127,False
2128,True
2129,True
2130,True
2131,True
2132,True
2133,True
2134,True
2135,True
2136,True
2137,False
2138,False
2139,False
2140,False
2141,False
2142,False
2143,False
2144,False
2145,False
2146,False
2147,False
2148,False
2149,False
2150,False
2151,False
2152,False
2153,False
2154,False
2155,False
2156,False
2157,False
2158,False
2159,False
2160,False
2161,False
2162,False
2163,False
2164,False
2165,False
2166,False
2167,False
2168,False
2169,False
2170,False
2171,False
2172,False
2173,False
2174,False
2175,False
2176,False
2177,False
2178,False
2179,False
2180,False
2181,True
2182,False
2183,False
2184,False
2185,True
2186,False
2187,False
2188,False
2189,True
2190,True
2191,True
2192,True
2193,False
2194,False
2195,False
2196,False
2197,True
2198,False
2199,False
2200,False
2201,False
2202,False
2203,False
2204,True
2205,False
2206,False
2207,False
2208,False
2209,False
2210,False
2211,False
2212,True
2213,False
2214,False
2215,False
2216,False
2217,False
2218,False
2219,False
2220,False
2221,False
2222,False
2223,False
2224,False
2225,False
2226,False
2227,False
2228,False
2229,False
2230,False
2231,True
2232,True
2233,False
2234,False
2235,False
2236,False
2237,False
2238,False
2239,True
2240,True
2241,True
2242,True
2243,True
2244,True
2245,True
2246,True
2247,True
2248,False
2249,True
2250,True
2251,True
2252,False
2253,True
2254,True
2255,True
2256,False
2257,True
2258,False
2259,False
2260,False
2261,False
2262,False
2263,False
2264,False
2265,True
2266,False
2267,True
2268,True
2269,True
2270,True
2271,False
2272,False
2273,False
2274,True
2275,False
2276,True
2277,True
2278,True
2279,True
2280,True
2281,True
2282,True
2283,True
2284,True
2285,True
2286,False
2287,True
2288,True
2289,True
2290,True
2291,True
2292,True
2293,True
2294,True
2295,False
2296,False
2297,False
2298,True
2299,True
2300,True
2301,True
2302,False
2303,False
2304,False
2305,True
2306,False
2307,True
2308,True
2309,True
2310,False
2311,True
2312,True
2313,False
2314,False
2315,True
2316,False
2317,False
2318,False
2319,False
2320,False
2321,True
2322,True
2323,True
2324,True
2325,True
2326,True
2327,True
2328,True
2329,False
2330,False
2331,False
2332,False
2333,False
2334,False
2335,True
2336,True
2337,True
2338,True
2339,True
2340,True
2341,True
2342,True
2343,False
2344,False
2345,False
2346,False
2347,False
2348,False
2349,False
2350,False
2351,True
2352,False
2353,False
2354,False
2355,True
2356,True
2357,False
2358,False
2359,False
2360,False
2361,True
2362,False
2363,False
2364,True
2365,True
2366,True
2367,False
2368,False
2369,True
2370,False
2371,False
2372,True
2373,True
2374,False
2375,True
2376,True
2377,True
2378,False
2379,True
2380,False
2381,True
2382,True
2383,True
2384,False
2385,True
2386,False
2387,True
2388,True
2389,True
2390,False
2391,False
2392,False
2393,False
2394,True
2395,True
2396,True
2397,False
2398,True
2399,False
2400,True
2401,False
2402,True
2403,True
2404,True
2405,True
2406,False
2407,True
2408,False
2409,True
2410,True
2411,True
2412,True
2413,True
2414,True
2415,False
2416,True
2417,True
2418,True
2419,False
2420,True
2421,True
2422,True
2423,True
2424,True
2425,False
2426,False
2427,True
2428,True
2429,True
2430,False
2431,True
2432,True
2433,True
2434,True
2435,True
2436,True
2437,True
2438,True
2439,True
2440,True
2441,True
2442,True
2443,True
2444,True
2445,True
2446,False
2447,False
2448,True
2449,False
2450,True
2451,False
2452,True
2453,True
2454,True
2455,True
2456,False
2457,False
2458,True
2459,True
2460,False
2461,True
2462,True
2463,True
2464,True
2465,True
2466,True
2467,True
2468,True
2469,True
2470,True
2471,False
2472,False
2473,True
2474,True
2475,True
2476,True
2477,True
2478,True
2479,True
2480,False
2481,False
2482,True
2483,True
2484,True
2485,False
2486,False
2487,False
2488,True
2489,True
2490,True
2491,True
2492,True
2493,False
2494,True
2495,True
2496,True
2497,True
2498,True
2499,True
2500,False
2501,True
2502,False
2503,True
2504,True
2505,True
2506,True
2507,True
2508,True
2509,True
2510,True
2511,True
2512,True
2513,True
2514,True
2515,True
2516,True
2517,True
2518,True
2519,True
2520,True
2521,False
2522,True
2523,True
2524,True
2525,True
2526,True
2527,True
2528,True
2529,True
2530,True
2531,True
2532,True
2533,False
2534,True
2535,True
2536,True
2537,False
2538,True
2539,True
2540,True
2541,True
2542,True
2543,False
2544,True
2545,True
2546,True
2547,True
2548,True
2549,True
2550,True
2551,True
2552,True
2553,False
2554,False
2555,False
2556,False
2557,False
2558,False
2559,True
2560,True
2561,True
2562,True
2563,True
2564,True
2565,False
2566,True
2567,True
2568,True
2569,True
2570,True
2571,True
2572,False
2573,False
2574,True
2575,True
2576,True
2577,True
2578,True
2579,True
2580,True
2581,True
2582,False
2583,False
2584,True
2585,True
2586,True
2587,False
2588,True
2589,True
2590,True
2591,True
2592,True
2593,True
2594,False
2595,True
2596,True
2597,True
2598,True
2599,True
2600,True
2601,True
2602,True
2603,True
2604,True
2605,True
2606,True
2607,False
2608,False
2609,True
2610,True
2611,True
2612,True
2613,True
2614,True
2615,True
2616,True
2617,True
2618,True
2619,False
2620,True
2621,True
2622,True
2623,False
2624,True
2625,True
2626,True
2627,False
2628,True
2629,True
2630,True
2631,True
2632,True
2633,True
2634,True
2635,True
2636,True
2637,False
2638,False
2639,False
2640,False
2641,False
2642,True
2643,False
2644,True
2645,True
2646,True
2647,True
2648,False
2649,True
2650,True
2651,True
2652,True
2653,True
2654,True
2655,True
2656,True
2657,True
2658,True
2659,True
2660,True
2661,True
2662,True
2663,False
2664,True
2665,True
2666,True
2667,True
2668,True
2669,True
2670,False
2671,False
2672,True
2673,False
2674,True
2675,False
2676,True
2677,False
2678,True
2679,True
2680,False
2681,False
2682,False
2683,False
2684,False
2685,False
2686,False
2687,False
2688,False
2689,False
2690,True
2691,True
2692,False
2693,True
2694,True
2695,False
2696,False
2697,False
2698,False
2699,False
2700,False
2701,True
2702,True
2703,True
2704,True
2705,True
2706,True
2707,True
2708,True
2709,False
2710,True
2711,False
2712,True
2713,True
2714,True
2715,True
2716,True
2717,False
2718,False
2719,True
2720,True
2721,True
2722,True
2723,False
2724,False
2725,True
2726,False
2727,True
2728,True
2729,True
2730,False
2731,True
2732,False
2733,False
2734,False
2735,False
2736,False
2737,False
2738,False
2739,True
2740,True
2741,True
2742,True
2743,True
2744,False
2745,False
2746,False
2747,False
2748,False
2749,True
2750,True
2751,False
2752,False
2753,False
2754,False
2755,True
2756,True
2757,False
2758,True
2759,True
2760,False
2761,True
2762,True
2763,True
2764,True
2765,True
2766,False
2767,True
2768,True
2769,False
2770,False
2771,False
2772,False
2773,False
2774,False
2775,False
2776,False
2777,False
2778,False
2779,False
2780,False
2781,False
2782,False
2783,False
2784,False
2785,False
2786,False
2787,False
2788,False
2789,False
2790,False
2791,False
2792,False
2793,False
2794,False
2795,False
2796,False
2797,False
2798,False
2799,False
2800,False
2801,False
2802,False
2803,True
2804,False
2805,False
2806,False
2807,False
2808,False
2809,False
2810,False
2811,False
2812,False
2813,False
2814,False
2815,True
2816,True
2817,True
2818,True
2819,False
2820,False
2821,False
2822,True
2823,False
2824,False
2825,False
2826,False
2827,False
2828,False
2829,False
2830,True
2831,False
2832,False
2833,False
2834,False
2835,False
2836,False
2837,False
2838,True
2839,False
2840,False
2841,False
2842,False
2843,False
2844,True
2845,False
2846,False
2847,False
2848,False
2849,False
2850,False
2851,False
2852,False
2853,False
2854,False
2855,False
2856,False
2857,False
2858,False
2859,False
2860,False
2861,True
2862,False
2863,False
2864,False
2865,False
2866,True
2867,False
2868,True
2869,False
2870,False
2871,True
2872,False
2873,False
2874,False
2875,False
2876,False
2877,False
2878,False
2879,True
2880,False
2881,False
2882,False
2883,True
2884,False
2885,True
2886,False
2887,False
2888,False
2889,False
2890,False
2891,False
2892,False
2893,True
2894,False
2895,False
2896,False
2897,False
2898,False
2899,False
2900,False
2901,False
2902,False
2903,False
2904,True
2905,True
2906,True
2907,True
2908,True
2909,True
2910,False
2911,True
2912,True
2913,True
2914,False
2915,False
2916,False
2917,False
2918,False
2919,True
2920,True
2921,True
2922,True
2923,True
2924,True
2925,True
2926,False
2927,False
2928,False
2929,False
2930,False
2931,True
2932,True
2933,False
2934,False
2935,False
2936,False
2937,False
2938,False
2939,False
2940,False
2941,False
2942,False
2943,False
2944,False
2945,False
2946,False
2947,False
2948,False
2949,False
2950,False
2951,False
2952,False
2953,False
2954,False
2955,False
2956,True
2957,False
2958,False
2959,False
2960,False
2961,False
2962,False
2963,False
2964,False
2965,False
2966,False
2967,False
2968,False
2969,False
2970,False
2971,False
2972,False
2973,False
2974,False
2975,False
2976,False
2977,False
2978,False
2979,False
2980,False
2981,False
2982,False
2983,False
2984,True
2985,False
2986,False
2987,True
2988,False
2989,False
2990,False
2991,False
2992,False
2993,False
2994,False
2995,False
2996,False
2997,False
